"","usingObserved","treeType","scale","counted","mean","pi.lower","pi.upper"
"33",FALSE,"dirichlet",0.1,200,0.507995957215749,0.471605113275233,0.544351128746656
"34",TRUE,"dirichlet",0.1,200,0.788893912988515,0.656459415074088,0.898649232798309
"35",FALSE,"dirichlet",1,200,0.522946291411127,0.449645138257878,0.595829804977537
"36",TRUE,"dirichlet",1,200,0.828214796146861,0.726099799699308,0.912677748232262
"37",FALSE,"dirichlet",10,200,0.506998081616866,0.466442131315108,0.547515231406404
"38",TRUE,"dirichlet",10,200,0.825908849923296,0.724534124830161,0.910141133844906
"39",FALSE,"dirichlet",100,200,0.527981562398824,0.478321814980761,0.577408487969811
"40",TRUE,"dirichlet",100,200,0.815494990648165,0.678049865499255,0.924234947849067
"41",FALSE,"tree",0.01,300,0.957814129535949,0.878012536250676,0.997527445042147
"42",TRUE,"tree",0.01,300,0.982283975618068,0.896786556679765,0.999999999995717
"43",FALSE,"tree",0.1,300,0.953334241344046,0.858226920714927,0.998117433914105
"44",TRUE,"tree",0.1,300,0.981383849955076,0.892047704796099,0.999999999991485
"45",FALSE,"tree",1,300,0.950412674549592,0.804161110203004,0.99990585954525
"46",TRUE,"tree",1,300,0.987004121930118,0.939113594697659,0.999999325348573
"47",FALSE,"tree",10,300,0.940354184771005,0.820550072349386,0.997516572942498
"48",TRUE,"tree",10,300,0.984426276020902,0.914094169815915,0.999999999593376
"49",FALSE,"tree",100,300,0.863295251444636,0.731184148276229,0.958669427136886
"50",TRUE,"tree",100,300,0.966940972518628,0.898395344407923,0.998726288233614
"51",FALSE,"dirichlet",0.01,300,0.615053629329269,0.54298669084081,0.685036598817919
"52",TRUE,"dirichlet",0.01,300,0.935655384959132,0.821194948165631,0.995385706216384
"53",FALSE,"dirichlet",0.1,300,0.596750835674069,0.483531367814979,0.705685233951305
"54",TRUE,"dirichlet",0.1,300,0.930485037544922,0.825246555447449,0.991340578801949
"55",FALSE,"dirichlet",1,300,0.618815496856229,0.514170827024978,0.718915813817553
"56",TRUE,"dirichlet",1,300,0.933175407282221,0.809670844485515,0.995951579659917
"57",FALSE,"dirichlet",10,300,0.587041363962258,0.477584944172674,0.692909848732233
"58",TRUE,"dirichlet",10,300,0.943120768342067,0.834497761405945,0.996939093108024
"59",FALSE,"dirichlet",100,300,0.62397513801285,0.538730446899296,0.706060831881543
"60",TRUE,"dirichlet",100,300,0.939431808531367,0.837336232243255,0.99460992124546
"61",FALSE,"tree",0.01,400,0.984001724947945,0.967247387831659,0.995348040508303
"62",TRUE,"tree",0.01,400,0.999006705787506,0.998975184519362,0.999037812565307
"63",FALSE,"tree",0.1,400,0.988071121290799,0.950916104011821,0.999985974904593
"64",TRUE,"tree",0.1,400,0.997000924533261,0.996759715666876,0.997234264542064
"65",FALSE,"tree",1,400,0.989044104531859,0.95865201831696,0.999947278521537
"66",TRUE,"tree",1,400,0.997999984273083,0.997968815238363,0.998030950893408
"67",FALSE,"tree",10,400,0.9830803519777,0.931823214819973,0.999971747066176
"68",TRUE,"tree",10,400,0.997000924533261,0.996759715666876,0.997234264542064
"69",FALSE,"tree",100,400,0.915015140107734,0.835751785533707,0.971990306732544
"70",TRUE,"tree",100,400,0.997001621093778,0.988157872871638,0.999992446890626
"71",FALSE,"dirichlet",0.01,400,0.636957853320622,0.563971267922484,0.707354901788674
"72",TRUE,"dirichlet",0.01,400,0.990005765582367,0.973669848940402,0.998910422276231
"73",FALSE,"dirichlet",0.1,400,0.657057916841243,0.580632337999313,0.730163797273921
"74",TRUE,"dirichlet",0.1,400,0.988999583774294,0.98697136437735,0.990882961416361
"75",FALSE,"dirichlet",1,400,0.669995094131755,0.627127516079498,0.711701899405908
"76",TRUE,"dirichlet",1,400,0.991001053990249,0.975064138601982,0.999254325317317
"77",FALSE,"dirichlet",10,400,0.652697342707533,0.652447275238398,0.652947374775996
"78",TRUE,"dirichlet",10,400,0.979017795947277,0.953365042616026,0.995340093722185
"79",FALSE,"dirichlet",100,400,0.660911678325233,0.658687830406901,0.6631325455905
"80",TRUE,"dirichlet",100,400,0.987019257790877,0.951634948184028,0.999926198762689
"81",FALSE,"tree",0.01,500,0.991997487049455,0.990515273999724,0.993373096647468
"82",TRUE,"tree",0.01,500,0.999006705787506,0.998975184519362,0.999037812565307
"83",FALSE,"tree",0.1,500,0.979924248997346,0.979623080315643,0.980223569207604
"84",TRUE,"tree",0.1,500,0.999999972761955,0.999999990840857,1
"85",FALSE,"tree",1,500,0.987999939145177,0.980602617438294,0.993845997754501
"86",TRUE,"tree",1,500,0.999999972761955,0.999999990840857,1
"87",FALSE,"tree",10,500,0.983997232466339,0.982549497644453,0.985392725362056
"88",TRUE,"tree",10,500,0.999999972761955,0.999999990840857,1
"89",FALSE,"tree",100,500,0.930991699172267,0.930471268469413,0.931510607136604
"90",TRUE,"tree",100,500,0.999006705787506,0.998975184519362,0.999037812565307
"91",FALSE,"dirichlet",0.01,500,0.711005058233694,0.656855467213968,0.762717350465188
"92",TRUE,"dirichlet",0.01,500,0.997999984273083,0.997968815238363,0.998030950893408
"93",FALSE,"dirichlet",0.1,500,0.682999680283592,0.657511951292054,0.708033340839063
"94",TRUE,"dirichlet",0.1,500,0.994993466198573,0.994742371271013,0.995239402064444
"95",FALSE,"dirichlet",1,500,0.708027280225793,0.705883995750212,0.710166686289366
"96",TRUE,"dirichlet",1,500,0.997999984273083,0.997968815238363,0.998030950893408
"97",FALSE,"dirichlet",10,500,0.706028667964613,0.703696468067794,0.70835633845268
"98",TRUE,"dirichlet",10,500,0.997001621093778,0.988157872871638,0.999992446890626
"99",FALSE,"dirichlet",100,500,0.714059408236689,0.638106627440089,0.785173589755451
"100",TRUE,"dirichlet",100,500,0.996008267496507,0.979841829532449,0.999999987969323
"101",FALSE,"tree",0.01,600,0.99400011273994,0.993745823308172,0.994249977657263
"102",TRUE,"tree",0.01,600,0.999999972761955,0.999999990840857,1
"103",FALSE,"tree",0.1,600,0.995002547844391,0.981524636683504,0.999967246718883
"104",TRUE,"tree",0.1,600,0.999999972761955,0.999999990840857,1
"105",FALSE,"tree",1,600,0.989008749377657,0.951896320097855,0.999996434927137
"106",TRUE,"tree",1,600,0.999999972761955,0.999999990840857,1
"107",FALSE,"tree",10,600,0.992003664440074,0.991813044330038,0.992192408770873
"108",TRUE,"tree",10,600,0.999999972761955,0.999999990840857,1
"109",FALSE,"tree",100,600,0.958008942789329,0.922246404934277,0.984160019801105
"110",TRUE,"tree",100,600,0.999999972761955,0.999999990840857,1
"111",FALSE,"dirichlet",0.01,600,0.75702196872129,0.686636738612021,0.821948059071472
"112",TRUE,"dirichlet",0.01,600,0.999999972761955,0.999999990840857,1
"113",FALSE,"dirichlet",0.1,600,0.75382494182633,0.662509561291035,0.836244585054508
"114",TRUE,"dirichlet",0.1,600,0.999999972761955,0.999999990840857,1
"115",FALSE,"dirichlet",1,600,0.758034656310434,0.665513876047192,0.841190352254865
"116",TRUE,"dirichlet",1,600,0.999999972761955,0.999999990840857,1
"117",FALSE,"dirichlet",10,600,0.783020285425757,0.725704256919591,0.836026375806368
"118",TRUE,"dirichlet",10,600,0.999999972761955,0.999999990840857,1
"119",FALSE,"dirichlet",100,600,0.748600914058254,0.622004309353949,0.858887265133139
"120",TRUE,"dirichlet",100,600,0.999999972761955,0.999999990840857,1
"121",FALSE,"tree",0.01,700,0.997999984273083,0.997968815238363,0.998030950893408
"122",TRUE,"tree",0.01,700,0.999999972761955,0.999999990840857,1
"123",FALSE,"tree",0.1,700,0.996000137828047,0.991213803051172,0.999061610106926
"124",TRUE,"tree",0.1,700,0.999999972761955,0.999999990840857,1
"125",FALSE,"tree",1,700,0.997999984273083,0.997968815238363,0.998030950893408
"126",TRUE,"tree",1,700,0.999999972761955,0.999999990840857,1
"127",FALSE,"tree",10,700,0.997999984273083,0.997968815238363,0.998030950893408
"128",TRUE,"tree",10,700,0.999999972761955,0.999999990840857,1
"129",FALSE,"tree",100,700,0.968975739774666,0.921404613120163,0.996029431719574
"130",TRUE,"tree",100,700,0.999999972761955,0.999999990840857,1
"131",FALSE,"dirichlet",0.01,700,0.812993535799986,0.811865563398363,0.814119310889772
"132",TRUE,"dirichlet",0.01,700,0.999999972761955,0.999999990840857,1
"133",FALSE,"dirichlet",0.1,700,0.795992415238588,0.741799362079401,0.845981768959907
"134",TRUE,"dirichlet",0.1,700,0.999999972761955,0.999999990840857,1
"135",FALSE,"dirichlet",1,700,0.786116040245217,0.696854463798021,0.864986819890008
"136",TRUE,"dirichlet",1,700,0.999999972761955,0.999999990840857,1
"137",FALSE,"dirichlet",10,700,0.805962143819308,0.737091647421885,0.867688923423095
"138",TRUE,"dirichlet",10,700,0.999999972761955,0.999999990840857,1
"139",FALSE,"dirichlet",100,700,0.780044884895251,0.690863606665607,0.859238989748216
"140",TRUE,"dirichlet",100,700,0.999999972761955,0.999999990840857,1
"141",FALSE,"tree",0.01,800,0.999006705787506,0.998975184519362,0.999037812565307
"142",TRUE,"tree",0.01,800,0.999999972761955,0.999999990840857,1
"143",FALSE,"tree",0.1,800,0.997000924533261,0.996759715666876,0.997234264542064
"144",TRUE,"tree",0.1,800,0.999999972761955,0.999999990840857,1
"145",FALSE,"tree",1,800,0.999006705787506,0.998975184519362,0.999037812565307
"146",TRUE,"tree",1,800,0.999999972761955,0.999999990840857,1
"147",FALSE,"tree",10,800,0.997999984273083,0.997968815238363,0.998030950893408
"148",TRUE,"tree",10,800,0.999999972761955,0.999999990840857,1
"149",FALSE,"tree",100,800,0.98498048389476,0.95921227697478,0.998620370077703
"150",TRUE,"tree",100,800,0.999999972761955,0.999999990840857,1
