"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5","wincount.6","wincount.7","wincount.8","wincount.9","wincount.10"
"168",2,TRUE,"dtree",10,100,1,0,11,19,0,447,0,7,10,5
"169",2,FALSE,"dirichlet",0.00999999977648258,100,52,35,51,35,57,50,54,51,58,57
"170",2,TRUE,"dirichlet",0.00999999977648258,100,6,17,55,63,16,168,15,63,40,57
"171",2,FALSE,"dirichlet",0.100000001490116,100,40,44,39,53,51,60,61,53,57,42
"172",2,TRUE,"dirichlet",0.100000001490116,100,13,26,47,78,10,166,14,64,40,42
"173",2,FALSE,"dirichlet",1,100,52,52,46,42,49,48,48,45,65,53
"174",2,TRUE,"dirichlet",1,100,10,18,41,74,14,202,11,54,36,40
"175",2,FALSE,"dirichlet",10,100,56,38,53,54,51,54,44,47,43,60
"176",2,TRUE,"dirichlet",10,100,15,12,45,60,11,182,20,72,40,43
"177",2,FALSE,"dtree",0.00999999977648258,200,0,0,16,3,0,467,0,11,2,1
"178",2,TRUE,"dtree",0.00999999977648258,200,0,0,6,4,0,480,0,7,3,0
"179",2,FALSE,"dtree",0.100000001490116,200,0,0,6,4,0,460,0,18,12,0
"180",2,TRUE,"dtree",0.100000001490116,200,0,0,4,1,0,481,0,7,6,1
"181",2,FALSE,"dtree",1,200,0,0,4,1,0,478,0,10,7,0
"182",2,TRUE,"dtree",1,200,0,0,0,0,0,492,0,3,5,0
"183",2,FALSE,"dtree",10,200,0,0,4,3,0,474,0,11,7,1
"184",2,TRUE,"dtree",10,200,0,0,0,0,0,494,0,5,1,0
"185",2,FALSE,"dirichlet",0.00999999977648258,200,32,53,52,47,51,44,55,56,48,62
"186",2,TRUE,"dirichlet",0.00999999977648258,200,0,1,40,30,0,318,2,63,34,12
"187",2,FALSE,"dirichlet",0.100000001490116,200,47,48,53,42,49,52,48,61,49,51
"188",2,TRUE,"dirichlet",0.100000001490116,200,0,0,37,17,4,337,2,55,36,12
"189",2,FALSE,"dirichlet",1,200,46,42,43,60,46,47,44,66,56,50
"190",2,TRUE,"dirichlet",1,200,0,2,30,29,4,314,2,56,47,16
"191",2,FALSE,"dirichlet",10,200,43,63,38,40,51,46,59,58,46,56
"192",2,TRUE,"dirichlet",10,200,0,0,35,16,1,335,3,52,36,22
"193",2,FALSE,"dtree",0.00999999977648258,300,0,0,22,3,0,440,0,12,23,0
"194",2,TRUE,"dtree",0.00999999977648258,300,0,0,3,1,0,483,0,3,10,0
"195",2,FALSE,"dtree",0.100000001490116,300,0,0,17,2,0,448,0,4,29,0
"196",2,TRUE,"dtree",0.100000001490116,300,0,0,4,0,0,476,0,1,19,0
"197",2,FALSE,"dtree",1,300,0,0,15,7,0,451,0,4,23,0
"198",2,TRUE,"dtree",1,300,0,0,2,0,0,492,0,0,6,0
"199",2,FALSE,"dtree",10,300,0,0,8,4,0,466,0,6,16,0
"200",2,TRUE,"dtree",10,300,0,0,3,0,0,492,0,0,5,0
"201",2,FALSE,"dirichlet",0.00999999977648258,300,48,51,53,45,44,54,45,47,56,57
"202",2,TRUE,"dirichlet",0.00999999977648258,300,0,0,39,17,1,372,1,20,50,0
"203",2,FALSE,"dirichlet",0.100000001490116,300,52,56,52,38,37,37,55,52,58,63
"204",2,TRUE,"dirichlet",0.100000001490116,300,0,0,33,20,0,373,0,14,57,3
"205",2,FALSE,"dirichlet",1,300,56,46,54,50,45,49,48,52,50,50
"206",2,TRUE,"dirichlet",1,300,0,1,32,13,0,392,0,11,49,2
