"","usingObserved","treeType","scale","counted","numWins"
"238",TRUE,"Dirichlet",2,400,3
"239",FALSE,"Dirichlet",3,400,2
"240",TRUE,"Dirichlet",3,400,3
"241",FALSE,"Dirichlet Tree",1,420,2
"242",TRUE,"Dirichlet Tree",1,420,0
"243",FALSE,"Dirichlet Tree",2,420,0
"244",TRUE,"Dirichlet Tree",2,420,1
"245",FALSE,"Dirichlet Tree",3,420,4
"246",TRUE,"Dirichlet Tree",3,420,3
"247",FALSE,"Dirichlet",1,420,3
"248",TRUE,"Dirichlet",1,420,1
"249",FALSE,"Dirichlet",2,420,0
"250",TRUE,"Dirichlet",2,420,1
"251",FALSE,"Dirichlet",3,420,3
"252",TRUE,"Dirichlet",3,420,3
"253",FALSE,"Dirichlet Tree",1,440,3
"254",TRUE,"Dirichlet Tree",1,440,3
"255",FALSE,"Dirichlet Tree",2,440,5
"256",TRUE,"Dirichlet Tree",2,440,4
"257",FALSE,"Dirichlet Tree",3,440,4
"258",TRUE,"Dirichlet Tree",3,440,4
"259",FALSE,"Dirichlet",1,440,2
"260",TRUE,"Dirichlet",1,440,1
"261",FALSE,"Dirichlet",2,440,0
"262",TRUE,"Dirichlet",2,440,3
"263",FALSE,"Dirichlet",3,440,1
"264",TRUE,"Dirichlet",3,440,5
"265",FALSE,"Dirichlet Tree",1,460,1
"266",TRUE,"Dirichlet Tree",1,460,2
"267",FALSE,"Dirichlet Tree",2,460,3
"268",TRUE,"Dirichlet Tree",2,460,2
"269",FALSE,"Dirichlet Tree",3,460,5
"270",TRUE,"Dirichlet Tree",3,460,5
"271",FALSE,"Dirichlet",1,460,2
"272",TRUE,"Dirichlet",1,460,3
"273",FALSE,"Dirichlet",2,460,1
"274",TRUE,"Dirichlet",2,460,2
"275",FALSE,"Dirichlet",3,460,4
"276",TRUE,"Dirichlet",3,460,5
"277",FALSE,"Dirichlet Tree",1,480,6
"278",TRUE,"Dirichlet Tree",1,480,1
"279",FALSE,"Dirichlet Tree",2,480,6
"280",TRUE,"Dirichlet Tree",2,480,2
"281",FALSE,"Dirichlet Tree",3,480,8
"282",TRUE,"Dirichlet Tree",3,480,6
"283",FALSE,"Dirichlet",1,480,1
"284",TRUE,"Dirichlet",1,480,1
"285",FALSE,"Dirichlet",2,480,2
"286",TRUE,"Dirichlet",2,480,2
"287",FALSE,"Dirichlet",3,480,0
"288",TRUE,"Dirichlet",3,480,2
"289",FALSE,"Dirichlet Tree",1,500,3
"290",TRUE,"Dirichlet Tree",1,500,2
"291",FALSE,"Dirichlet Tree",2,500,4
"292",TRUE,"Dirichlet Tree",2,500,1
"293",FALSE,"Dirichlet Tree",3,500,4
"294",TRUE,"Dirichlet Tree",3,500,3
"295",FALSE,"Dirichlet",1,500,4
"296",TRUE,"Dirichlet",1,500,0
"297",FALSE,"Dirichlet",2,500,1
"298",TRUE,"Dirichlet",2,500,5
"299",FALSE,"Dirichlet",3,500,2
"300",TRUE,"Dirichlet",3,500,2
"301",FALSE,"Dirichlet Tree",1,520,3
"302",TRUE,"Dirichlet Tree",1,520,2
"303",FALSE,"Dirichlet Tree",2,520,2
"304",TRUE,"Dirichlet Tree",2,520,3
"305",FALSE,"Dirichlet Tree",3,520,4
"306",TRUE,"Dirichlet Tree",3,520,8
"307",FALSE,"Dirichlet",1,520,1
"308",TRUE,"Dirichlet",1,520,4
"309",FALSE,"Dirichlet",2,520,2
"310",TRUE,"Dirichlet",2,520,4
"311",FALSE,"Dirichlet",3,520,1
"312",TRUE,"Dirichlet",3,520,3
"313",FALSE,"Dirichlet Tree",1,540,3
"314",TRUE,"Dirichlet Tree",1,540,4
"315",FALSE,"Dirichlet Tree",2,540,5
"316",TRUE,"Dirichlet Tree",2,540,4
"317",FALSE,"Dirichlet Tree",3,540,6
"318",TRUE,"Dirichlet Tree",3,540,2
"319",FALSE,"Dirichlet",1,540,5
"320",TRUE,"Dirichlet",1,540,1
"321",FALSE,"Dirichlet",2,540,3
"322",TRUE,"Dirichlet",2,540,6
"323",FALSE,"Dirichlet",3,540,1
"324",TRUE,"Dirichlet",3,540,4
"325",FALSE,"Dirichlet Tree",1,560,4
"326",TRUE,"Dirichlet Tree",1,560,7
"327",FALSE,"Dirichlet Tree",2,560,4
"328",TRUE,"Dirichlet Tree",2,560,4
"329",FALSE,"Dirichlet Tree",3,560,7
"330",TRUE,"Dirichlet Tree",3,560,6
"331",FALSE,"Dirichlet",1,560,5
"332",TRUE,"Dirichlet",1,560,5
"333",FALSE,"Dirichlet",2,560,1
"334",TRUE,"Dirichlet",2,560,4
"335",FALSE,"Dirichlet",3,560,2
"336",TRUE,"Dirichlet",3,560,6
"337",FALSE,"Dirichlet Tree",1,580,4
"338",TRUE,"Dirichlet Tree",1,580,10
"339",FALSE,"Dirichlet Tree",2,580,5
"340",TRUE,"Dirichlet Tree",2,580,6
"341",FALSE,"Dirichlet Tree",3,580,6
"342",TRUE,"Dirichlet Tree",3,580,8
"343",FALSE,"Dirichlet",1,580,6
"344",TRUE,"Dirichlet",1,580,7
"345",FALSE,"Dirichlet",2,580,2
"346",TRUE,"Dirichlet",2,580,7
"347",FALSE,"Dirichlet",3,580,0
"348",TRUE,"Dirichlet",3,580,4
"349",FALSE,"Dirichlet Tree",1,600,6
"350",TRUE,"Dirichlet Tree",1,600,10
"351",FALSE,"Dirichlet Tree",2,600,9
"352",TRUE,"Dirichlet Tree",2,600,7
"353",FALSE,"Dirichlet Tree",3,600,8
"354",TRUE,"Dirichlet Tree",3,600,10
"355",FALSE,"Dirichlet",1,600,10
"356",TRUE,"Dirichlet",1,600,8
"357",FALSE,"Dirichlet",2,600,2
"358",TRUE,"Dirichlet",2,600,9
"359",FALSE,"Dirichlet",3,600,2
"360",TRUE,"Dirichlet",3,600,7
"361",FALSE,"Dirichlet Tree",1,620,9
"362",TRUE,"Dirichlet Tree",1,620,9
"363",FALSE,"Dirichlet Tree",2,620,8
"364",TRUE,"Dirichlet Tree",2,620,10
"365",FALSE,"Dirichlet Tree",3,620,9
"366",TRUE,"Dirichlet Tree",3,620,9
"367",FALSE,"Dirichlet",1,620,9
"368",TRUE,"Dirichlet",1,620,8
"369",FALSE,"Dirichlet",2,620,1
"370",TRUE,"Dirichlet",2,620,9
"371",FALSE,"Dirichlet",3,620,0
"372",TRUE,"Dirichlet",3,620,9
"373",FALSE,"Dirichlet Tree",1,640,8
"374",TRUE,"Dirichlet Tree",1,640,10
"375",FALSE,"Dirichlet Tree",2,640,9
"376",TRUE,"Dirichlet Tree",2,640,10
"377",FALSE,"Dirichlet Tree",3,640,8
"378",TRUE,"Dirichlet Tree",3,640,10
"379",FALSE,"Dirichlet",1,640,8
"380",TRUE,"Dirichlet",1,640,9
"381",FALSE,"Dirichlet",2,640,0
"382",TRUE,"Dirichlet",2,640,9
"383",FALSE,"Dirichlet",3,640,2
"384",TRUE,"Dirichlet",3,640,9
"385",FALSE,"Dirichlet Tree",1,660,8
"386",TRUE,"Dirichlet Tree",1,660,8
"387",FALSE,"Dirichlet Tree",2,660,8
"388",TRUE,"Dirichlet Tree",2,660,10
"389",FALSE,"Dirichlet Tree",3,660,7
"390",TRUE,"Dirichlet Tree",3,660,10
"391",FALSE,"Dirichlet",1,660,9
