"","usingObserved","treeType","scale","counted","mean","median","pi.lower","pi.upper"
"61",FALSE,"Dirichlet Tree","0",120,0.350499008569185,0.342723883210767,0.155491542031892,0.572243239869807
"62",TRUE,"Dirichlet Tree","0",120,0.342478658158512,0.329825361672333,0.113603940601359,0.614938271343276
"63",FALSE,"Dirichlet Tree","1",120,0.511217030789283,0.51413335143744,0.0981900305709286,0.914530423039208
"64",TRUE,"Dirichlet Tree","1",120,0.394741547510214,0.384184207410842,0.128999274343591,0.696851098079962
"65",FALSE,"Dirichlet Tree","10",120,0.492889026282762,0.490073378883065,0.0450587525245751,0.949456153708021
"66",TRUE,"Dirichlet Tree","10",120,0.441551344788667,0.433842643220929,0.132803081220946,0.776805943081234
"67",FALSE,"Dirichlet","0",120,0.38880385416013,0.376181974120506,0.112941611247328,0.708121676657782
"68",TRUE,"Dirichlet","0",120,0.385180785689113,0.359880114494369,0.0506533528206747,0.805043791948032
"69",FALSE,"Dirichlet","1",120,0.129983091336863,0.129978480680243,0.127599610463267,0.13238229960947
"70",TRUE,"Dirichlet","1",120,0.200051695264137,0.200048286316669,0.197340721178067,0.202774297596377
"71",FALSE,"Dirichlet","10",120,0.0500055497498837,0.0499917102247196,0.0475943927486169,0.0524639150720883
"72",TRUE,"Dirichlet","10",120,0.200027013844518,0.199516188233611,0.167714275816183,0.234082892572472
"73",FALSE,"Dirichlet Tree","0",140,0.314973013424734,0.281321126688933,0.035835967239762,0.708635565767168
"74",TRUE,"Dirichlet Tree","0",140,0.329306306300811,0.307623574557343,0.0677858933756114,0.665371398900097
"75",FALSE,"Dirichlet Tree","1",140,0.437512921009906,0.41127677401668,0.0235091704206546,0.93157556970191
"76",TRUE,"Dirichlet Tree","1",140,0.441171249323921,0.40853263461645,0.0113057772513175,0.961234561446991
"77",FALSE,"Dirichlet Tree","10",140,0.396954108973561,0.389653388154486,0.164125626953394,0.654921450999723
"78",TRUE,"Dirichlet Tree","10",140,0.394424545693882,0.367996181337268,0.0445207836788546,0.832546869146554
"79",FALSE,"Dirichlet","0",140,0.369287180479196,0.326809754726146,0.0200241766724831,0.855333628505307
"80",TRUE,"Dirichlet","0",140,0.337993018474209,0.27157075763479,0.00624737711912947,0.872338993533507
"81",FALSE,"Dirichlet","1",140,0.100133049498314,0.100126611098422,0.0977175951260915,0.102570465905978
"82",TRUE,"Dirichlet","1",140,0.30021543769858,0.295583364203458,0.170872775899689,0.445428455098481
"83",FALSE,"Dirichlet","10",140,0.0900115523566141,0.0899933777244649,0.0862041734582044,0.0938809272579506
"84",TRUE,"Dirichlet","10",140,0.189904624551517,0.189898331774824,0.186356004670214,0.193474709741042
"85",FALSE,"Dirichlet Tree","0",160,0.370011495935877,0.34412821679558,0.0520446901201622,0.775802994773133
"86",TRUE,"Dirichlet Tree","0",160,0.354936981976816,0.305062572274141,0.0143289663936224,0.854310634961759
"87",FALSE,"Dirichlet Tree","1",160,0.541255299458502,0.554779355488717,0.0870476600429759,0.951821160316803
"88",TRUE,"Dirichlet Tree","1",160,0.532854893096583,0.539735019043192,0.139821913139152,0.902577166909133
"89",FALSE,"Dirichlet Tree","10",160,0.599501676349381,0.609932949445437,0.291678210295449,0.871396430916752
