"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5","wincount.6","wincount.7","wincount.8","wincount.9","wincount.10"
"107",1,FALSE,"dirichlet",1,700,10,9,12,7,11,9,8,14,12,8
"108",1,TRUE,"dirichlet",1,700,0,0,0,0,0,100,0,0,0,0
"109",1,FALSE,"dirichlet",10,700,9,8,12,7,9,8,18,7,9,13
"110",1,TRUE,"dirichlet",10,700,0,0,0,0,0,100,0,0,0,0
"111",1,FALSE,"dirichlet",100,700,7,6,15,8,14,12,3,15,10,10
"112",1,TRUE,"dirichlet",100,700,0,0,0,0,0,100,0,0,0,0
"113",1,FALSE,"dtree",0.100000001490116,800,0,0,0,0,0,98,0,2,0,0
"114",1,TRUE,"dtree",0.100000001490116,800,0,0,0,0,0,100,0,0,0,0
"115",1,FALSE,"dtree",1,800,0,0,0,0,0,96,0,0,4,0
"116",1,TRUE,"dtree",1,800,0,0,0,0,0,100,0,0,0,0
"117",1,FALSE,"dtree",10,800,0,0,0,0,0,100,0,0,0,0
"118",1,TRUE,"dtree",10,800,0,0,0,0,0,100,0,0,0,0
"119",1,FALSE,"dtree",100,800,0,0,4,0,0,89,0,3,4,0
"120",1,TRUE,"dtree",100,800,0,0,0,0,0,100,0,0,0,0
"121",1,FALSE,"dirichlet",0.100000001490116,800,9,10,9,13,17,8,10,9,5,10
"122",1,TRUE,"dirichlet",0.100000001490116,800,0,0,0,0,0,100,0,0,0,0
"123",1,FALSE,"dirichlet",1,800,9,8,7,10,14,8,7,13,11,13
"124",1,TRUE,"dirichlet",1,800,0,0,0,0,0,100,0,0,0,0
"125",1,FALSE,"dirichlet",10,800,9,3,11,6,9,15,13,14,10,10
"126",1,TRUE,"dirichlet",10,800,0,0,0,0,0,100,0,0,0,0
"127",1,FALSE,"dirichlet",100,800,6,16,10,11,8,16,9,12,3,9
"128",1,TRUE,"dirichlet",100,800,0,0,0,0,0,100,0,0,0,0
"129",1,FALSE,"dtree",0.100000001490116,900,0,0,0,0,0,100,0,0,0,0
"130",1,TRUE,"dtree",0.100000001490116,900,0,0,0,0,0,100,0,0,0,0
"131",1,FALSE,"dtree",1,900,0,0,0,0,0,100,0,0,0,0
"132",1,TRUE,"dtree",1,900,0,0,0,0,0,100,0,0,0,0
"133",1,FALSE,"dtree",10,900,0,0,0,0,0,100,0,0,0,0
"134",1,TRUE,"dtree",10,900,0,0,0,0,0,100,0,0,0,0
"135",1,FALSE,"dtree",100,900,0,0,1,0,0,96,0,2,1,0
"136",1,TRUE,"dtree",100,900,0,0,0,0,0,100,0,0,0,0
"137",1,FALSE,"dirichlet",0.100000001490116,900,19,6,8,7,12,15,5,6,8,14
"138",1,TRUE,"dirichlet",0.100000001490116,900,0,0,0,0,0,100,0,0,0,0
"139",1,FALSE,"dirichlet",1,900,6,8,9,12,6,10,13,11,12,13
"140",1,TRUE,"dirichlet",1,900,0,0,0,0,0,100,0,0,0,0
"141",1,FALSE,"dirichlet",10,900,8,6,6,8,16,9,17,13,8,9
"142",1,TRUE,"dirichlet",10,900,0,0,0,0,0,100,0,0,0,0
"143",1,FALSE,"dirichlet",100,900,8,8,10,8,6,9,10,13,15,13
"144",1,TRUE,"dirichlet",100,900,0,0,0,0,0,100,0,0,0,0
"145",1,FALSE,"dtree",0.100000001490116,1000,0,0,0,0,0,100,0,0,0,0
"146",1,TRUE,"dtree",0.100000001490116,1000,0,0,0,0,0,100,0,0,0,0
"147",1,FALSE,"dtree",1,1000,0,0,0,0,0,100,0,0,0,0
"148",1,TRUE,"dtree",1,1000,0,0,0,0,0,100,0,0,0,0
"149",1,FALSE,"dtree",10,1000,0,0,0,0,0,100,0,0,0,0
"150",1,TRUE,"dtree",10,1000,0,0,0,0,0,100,0,0,0,0
"151",1,FALSE,"dtree",100,1000,0,0,4,0,0,95,0,1,0,0
"152",1,TRUE,"dtree",100,1000,0,0,0,0,0,100,0,0,0,0
"153",1,FALSE,"dirichlet",0.100000001490116,1000,12,7,8,6,9,13,11,12,10,12
"154",1,TRUE,"dirichlet",0.100000001490116,1000,0,0,0,0,0,100,0,0,0,0
"155",1,FALSE,"dirichlet",1,1000,9,11,6,6,7,8,15,19,7,12
"156",1,TRUE,"dirichlet",1,1000,0,0,0,0,0,100,0,0,0,0
"157",1,FALSE,"dirichlet",10,1000,11,14,8,8,8,11,12,8,15,5
"158",1,TRUE,"dirichlet",10,1000,0,0,0,0,0,100,0,0,0,0
"159",1,FALSE,"dirichlet",100,1000,8,10,6,12,9,8,13,15,11,8
"160",1,TRUE,"dirichlet",100,1000,0,0,0,0,0,100,0,0,0,0
"161",2,FALSE,"dtree",0.100000001490116,100,0,0,3,0,0,93,0,0,4,0
"162",2,TRUE,"dtree",0.100000001490116,100,0,0,7,1,0,90,0,0,2,0
"163",2,FALSE,"dtree",1,100,0,1,9,0,0,81,0,0,9,0
"164",2,TRUE,"dtree",1,100,0,1,6,0,0,91,0,0,2,0
"165",2,FALSE,"dtree",10,100,0,0,12,2,0,75,0,0,11,0
"166",2,TRUE,"dtree",10,100,0,0,10,1,0,77,0,0,12,0
"167",2,FALSE,"dtree",100,100,5,5,17,8,2,35,5,3,17,3
"168",2,TRUE,"dtree",100,100,1,3,9,3,0,68,0,4,11,1
"169",2,FALSE,"dirichlet",0.100000001490116,100,8,12,12,11,7,11,7,13,7,12
"170",2,TRUE,"dirichlet",0.100000001490116,100,2,9,16,7,1,46,2,4,9,4
"171",2,FALSE,"dirichlet",1,100,9,10,11,8,12,5,11,12,10,12
"172",2,TRUE,"dirichlet",1,100,2,9,11,10,3,40,7,5,11,2
"173",2,FALSE,"dirichlet",10,100,6,12,14,4,7,10,15,9,8,15
"174",2,TRUE,"dirichlet",10,100,1,7,10,11,4,46,6,5,7,3
"175",2,FALSE,"dirichlet",100,100,7,7,5,12,12,12,10,10,9,16
"176",2,TRUE,"dirichlet",100,100,8,7,10,8,0,45,2,3,13,4
"177",2,FALSE,"dtree",0.100000001490116,200,0,0,0,0,0,79,0,0,21,0
