"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5"
"217",1,FALSE,"dirichlet",0.100000001490116,140,0,0,23,2,0
"218",1,TRUE,"dirichlet",0.100000001490116,140,0,0,25,0,0
"219",1,FALSE,"dirichlet",1,140,0,1,12,6,6
"220",1,TRUE,"dirichlet",1,140,1,0,19,3,2
"221",1,FALSE,"dirichlet",10,140,6,3,6,8,2
"222",1,TRUE,"dirichlet",10,140,1,0,20,3,1
"223",1,FALSE,"dirichlet",100,140,3,7,4,3,8
"224",1,TRUE,"dirichlet",100,140,2,0,19,2,2
"225",1,FALSE,"dtree",0.100000001490116,150,0,0,24,1,0
"226",1,TRUE,"dtree",0.100000001490116,150,0,0,25,0,0
"227",1,FALSE,"dtree",1,150,0,0,24,1,0
"228",1,TRUE,"dtree",1,150,0,0,24,1,0
"229",1,FALSE,"dtree",10,150,0,0,25,0,0
"230",1,TRUE,"dtree",10,150,0,0,23,2,0
"231",1,FALSE,"dtree",100,150,0,1,15,6,3
"232",1,TRUE,"dtree",100,150,0,0,22,3,0
"233",1,FALSE,"dirichlet",0.100000001490116,150,0,0,23,2,0
"234",1,TRUE,"dirichlet",0.100000001490116,150,0,0,25,0,0
"235",1,FALSE,"dirichlet",1,150,2,0,15,3,5
"236",1,TRUE,"dirichlet",1,150,0,0,22,3,0
"237",1,FALSE,"dirichlet",10,150,7,4,8,5,1
"238",1,TRUE,"dirichlet",10,150,0,1,21,3,0
"239",1,FALSE,"dirichlet",100,150,4,6,3,4,8
"240",1,TRUE,"dirichlet",100,150,1,0,20,3,1
"241",1,FALSE,"dtree",0.100000001490116,160,0,0,25,0,0
"242",1,TRUE,"dtree",0.100000001490116,160,0,0,25,0,0
"243",1,FALSE,"dtree",1,160,0,0,25,0,0
"244",1,TRUE,"dtree",1,160,0,0,24,1,0
"245",1,FALSE,"dtree",10,160,0,0,24,1,0
"246",1,TRUE,"dtree",10,160,0,0,24,1,0
"247",1,FALSE,"dtree",100,160,0,0,19,5,1
"248",1,TRUE,"dtree",100,160,0,0,23,1,1
"249",1,FALSE,"dirichlet",0.100000001490116,160,0,0,23,2,0
"250",1,TRUE,"dirichlet",0.100000001490116,160,0,0,25,0,0
"251",1,FALSE,"dirichlet",1,160,1,1,20,1,2
"252",1,TRUE,"dirichlet",1,160,0,0,21,4,0
"253",1,FALSE,"dirichlet",10,160,6,7,7,0,5
"254",1,TRUE,"dirichlet",10,160,0,0,25,0,0
"255",1,FALSE,"dirichlet",100,160,7,6,1,4,7
"256",1,TRUE,"dirichlet",100,160,1,0,16,6,2
"257",1,FALSE,"dtree",0.100000001490116,170,0,0,25,0,0
"258",1,TRUE,"dtree",0.100000001490116,170,0,0,25,0,0
"259",1,FALSE,"dtree",1,170,0,0,25,0,0
"260",1,TRUE,"dtree",1,170,0,0,25,0,0
"261",1,FALSE,"dtree",10,170,0,0,25,0,0
"262",1,TRUE,"dtree",10,170,0,0,25,0,0
"263",1,FALSE,"dtree",100,170,0,0,22,1,2
"264",1,TRUE,"dtree",100,170,0,0,24,1,0
"265",1,FALSE,"dirichlet",0.100000001490116,170,0,0,25,0,0
"266",1,TRUE,"dirichlet",0.100000001490116,170,0,0,25,0,0
"267",1,FALSE,"dirichlet",1,170,0,0,22,3,0
"268",1,TRUE,"dirichlet",1,170,0,0,25,0,0
"269",1,FALSE,"dirichlet",10,170,6,4,5,5,5
