"","usingObserved","treeType","scale","counted","numWins"
"210",TRUE,"tree",100,100,90
"211",FALSE,"dirichlet",0.01,100,60
"212",TRUE,"dirichlet",0.01,100,74
"213",FALSE,"dirichlet",0.1,100,59
"214",TRUE,"dirichlet",0.1,100,79
"215",FALSE,"dirichlet",1,100,60
"216",TRUE,"dirichlet",1,100,79
"217",FALSE,"dirichlet",10,100,53
"218",TRUE,"dirichlet",10,100,76
"219",FALSE,"dirichlet",100,100,48
"220",TRUE,"dirichlet",100,100,76
"221",FALSE,"tree",0.01,200,100
"222",TRUE,"tree",0.01,200,100
"223",FALSE,"tree",0.1,200,99
"224",TRUE,"tree",0.1,200,100
"225",FALSE,"tree",1,200,100
"226",TRUE,"tree",1,200,100
"227",FALSE,"tree",10,200,100
"228",TRUE,"tree",10,200,100
"229",FALSE,"tree",100,200,96
"230",TRUE,"tree",100,200,99
"231",FALSE,"dirichlet",0.01,200,72
"232",TRUE,"dirichlet",0.01,200,99
"233",FALSE,"dirichlet",0.1,200,60
"234",TRUE,"dirichlet",0.1,200,96
"235",FALSE,"dirichlet",1,200,70
"236",TRUE,"dirichlet",1,200,95
"237",FALSE,"dirichlet",10,200,68
"238",TRUE,"dirichlet",10,200,97
"239",FALSE,"dirichlet",100,200,74
"240",TRUE,"dirichlet",100,200,95
"241",FALSE,"tree",0.01,300,100
"242",TRUE,"tree",0.01,300,100
"243",FALSE,"tree",0.1,300,100
"244",TRUE,"tree",0.1,300,100
"245",FALSE,"tree",1,300,100
"246",TRUE,"tree",1,300,100
"247",FALSE,"tree",10,300,100
"248",TRUE,"tree",10,300,100
"249",FALSE,"tree",100,300,96
"250",TRUE,"tree",100,300,100
"251",FALSE,"dirichlet",0.01,300,79
"252",TRUE,"dirichlet",0.01,300,99
"253",FALSE,"dirichlet",0.1,300,76
"254",TRUE,"dirichlet",0.1,300,100
"255",FALSE,"dirichlet",1,300,79
"256",TRUE,"dirichlet",1,300,100
"257",FALSE,"dirichlet",10,300,83
"258",TRUE,"dirichlet",10,300,100
"259",FALSE,"dirichlet",100,300,72
"260",TRUE,"dirichlet",100,300,100
"261",FALSE,"tree",0.01,400,100
"262",TRUE,"tree",0.01,400,100
"263",FALSE,"tree",0.1,400,100
"264",TRUE,"tree",0.1,400,100
"265",FALSE,"tree",1,400,100
"266",TRUE,"tree",1,400,100
"267",FALSE,"tree",10,400,100
"268",TRUE,"tree",10,400,100
"269",FALSE,"tree",100,400,99
"270",TRUE,"tree",100,400,100
"271",FALSE,"dirichlet",0.01,400,82
"272",TRUE,"dirichlet",0.01,400,100
"273",FALSE,"dirichlet",0.1,400,86
"274",TRUE,"dirichlet",0.1,400,100
"275",FALSE,"dirichlet",1,400,84
"276",TRUE,"dirichlet",1,400,100
"277",FALSE,"dirichlet",10,400,81
"278",TRUE,"dirichlet",10,400,100
"279",FALSE,"dirichlet",100,400,76
"280",TRUE,"dirichlet",100,400,99
"281",FALSE,"tree",0.01,500,100
"282",TRUE,"tree",0.01,500,100
"283",FALSE,"tree",0.1,500,99
"284",TRUE,"tree",0.1,500,100
"285",FALSE,"tree",1,500,100
"286",TRUE,"tree",1,500,100
"287",FALSE,"tree",10,500,100
"288",TRUE,"tree",10,500,100
"289",FALSE,"tree",100,500,100
"290",TRUE,"tree",100,500,100
"291",FALSE,"dirichlet",0.01,500,90
"292",TRUE,"dirichlet",0.01,500,100
"293",FALSE,"dirichlet",0.1,500,86
"294",TRUE,"dirichlet",0.1,500,100
"295",FALSE,"dirichlet",1,500,90
"296",TRUE,"dirichlet",1,500,100
"297",FALSE,"dirichlet",10,500,81
"298",TRUE,"dirichlet",10,500,100
"299",FALSE,"dirichlet",100,500,91
"300",TRUE,"dirichlet",100,500,100
"301",FALSE,"tree",0.01,600,100
"302",TRUE,"tree",0.01,600,100
"303",FALSE,"tree",0.1,600,100
"304",TRUE,"tree",0.1,600,100
"305",FALSE,"tree",1,600,100
"306",TRUE,"tree",1,600,100
"307",FALSE,"tree",10,600,100
"308",TRUE,"tree",10,600,100
"309",FALSE,"tree",100,600,100
"310",TRUE,"tree",100,600,100
"311",FALSE,"dirichlet",0.01,600,89
"312",TRUE,"dirichlet",0.01,600,100
"313",FALSE,"dirichlet",0.1,600,87
"314",TRUE,"dirichlet",0.1,600,100
"315",FALSE,"dirichlet",1,600,96
"316",TRUE,"dirichlet",1,600,100
"317",FALSE,"dirichlet",10,600,95
"318",TRUE,"dirichlet",10,600,100
"319",FALSE,"dirichlet",100,600,86
"320",TRUE,"dirichlet",100,600,100
"321",FALSE,"tree",0.01,700,100
"322",TRUE,"tree",0.01,700,100
"323",FALSE,"tree",0.1,700,100
"324",TRUE,"tree",0.1,700,100
"325",FALSE,"tree",1,700,100
"326",TRUE,"tree",1,700,100
"327",FALSE,"tree",10,700,100
"328",TRUE,"tree",10,700,100
"329",FALSE,"tree",100,700,100
"330",TRUE,"tree",100,700,100
"331",FALSE,"dirichlet",0.01,700,95
"332",TRUE,"dirichlet",0.01,700,100
"333",FALSE,"dirichlet",0.1,700,95
"334",TRUE,"dirichlet",0.1,700,100
"335",FALSE,"dirichlet",1,700,93
"336",TRUE,"dirichlet",1,700,100
"337",FALSE,"dirichlet",10,700,95
"338",TRUE,"dirichlet",10,700,100
"339",FALSE,"dirichlet",100,700,93
"340",TRUE,"dirichlet",100,700,100
"341",FALSE,"tree",0.01,800,100
"342",TRUE,"tree",0.01,800,100
"343",FALSE,"tree",0.1,800,100
"344",TRUE,"tree",0.1,800,100
"345",FALSE,"tree",1,800,100
"346",TRUE,"tree",1,800,100
"347",FALSE,"tree",10,800,100
"348",TRUE,"tree",10,800,100
"349",FALSE,"tree",100,800,100
"350",TRUE,"tree",100,800,100
"351",FALSE,"dirichlet",0.01,800,98
"352",TRUE,"dirichlet",0.01,800,100
"353",FALSE,"dirichlet",0.1,800,98
"354",TRUE,"dirichlet",0.1,800,100
"355",FALSE,"dirichlet",1,800,95
"356",TRUE,"dirichlet",1,800,100
"357",FALSE,"dirichlet",10,800,96
"358",TRUE,"dirichlet",10,800,100
"359",FALSE,"dirichlet",100,800,93
"360",TRUE,"dirichlet",100,800,100
"361",FALSE,"tree",0.01,900,100
"362",TRUE,"tree",0.01,900,100
"363",FALSE,"tree",0.1,900,100
"364",TRUE,"tree",0.1,900,100
"365",FALSE,"tree",1,900,100
"366",TRUE,"tree",1,900,100
"367",FALSE,"tree",10,900,100
"368",TRUE,"tree",10,900,100
"369",FALSE,"tree",100,900,100
"370",TRUE,"tree",100,900,100
"371",FALSE,"dirichlet",0.01,900,96
"372",TRUE,"dirichlet",0.01,900,100
"373",FALSE,"dirichlet",0.1,900,99
"374",TRUE,"dirichlet",0.1,900,100
"375",FALSE,"dirichlet",1,900,100
"376",TRUE,"dirichlet",1,900,100
"377",FALSE,"dirichlet",10,900,98
"378",TRUE,"dirichlet",10,900,100
"379",FALSE,"dirichlet",100,900,98
"380",TRUE,"dirichlet",100,900,100
"381",FALSE,"tree",0.01,1000,100
"382",TRUE,"tree",0.01,1000,100
"383",FALSE,"tree",0.1,1000,100
"384",TRUE,"tree",0.1,1000,100
"385",FALSE,"tree",1,1000,100
"386",TRUE,"tree",1,1000,100
"387",FALSE,"tree",10,1000,100
"388",TRUE,"tree",10,1000,100
"389",FALSE,"tree",100,1000,100
"390",TRUE,"tree",100,1000,100
"391",FALSE,"dirichlet",0.01,1000,98
"392",TRUE,"dirichlet",0.01,1000,100
"393",FALSE,"dirichlet",0.1,1000,97
"394",TRUE,"dirichlet",0.1,1000,100
"395",FALSE,"dirichlet",1,1000,99
"396",TRUE,"dirichlet",1,1000,100
"397",FALSE,"dirichlet",10,1000,95
"398",TRUE,"dirichlet",10,1000,100
"399",FALSE,"dirichlet",100,1000,96
"400",TRUE,"dirichlet",100,1000,100
"401",FALSE,"tree",0.01,100,97
"402",TRUE,"tree",0.01,100,100
"403",FALSE,"tree",0.1,100,99
"404",TRUE,"tree",0.1,100,100
"405",FALSE,"tree",1,100,99
"406",TRUE,"tree",1,100,100
"407",FALSE,"tree",10,100,97
"408",TRUE,"tree",10,100,99
"409",FALSE,"tree",100,100,79
"410",TRUE,"tree",100,100,88
"411",FALSE,"dirichlet",0.01,100,54
"412",TRUE,"dirichlet",0.01,100,81
"413",FALSE,"dirichlet",0.1,100,45
"414",TRUE,"dirichlet",0.1,100,78
"415",FALSE,"dirichlet",1,100,45
"416",TRUE,"dirichlet",1,100,79
"417",FALSE,"dirichlet",10,100,55
"418",TRUE,"dirichlet",10,100,82
"419",FALSE,"dirichlet",100,100,39
"420",TRUE,"dirichlet",100,100,74
"421",FALSE,"tree",0.01,200,100
"422",TRUE,"tree",0.01,200,100
"423",FALSE,"tree",0.1,200,100
"424",TRUE,"tree",0.1,200,100
"425",FALSE,"tree",1,200,100
"426",TRUE,"tree",1,200,100
"427",FALSE,"tree",10,200,100
"428",TRUE,"tree",10,200,100
"429",FALSE,"tree",100,200,96
"430",TRUE,"tree",100,200,100
"431",FALSE,"dirichlet",0.01,200,61
"432",TRUE,"dirichlet",0.01,200,97
"433",FALSE,"dirichlet",0.1,200,66
"434",TRUE,"dirichlet",0.1,200,99
"435",FALSE,"dirichlet",1,200,60
"436",TRUE,"dirichlet",1,200,99
"437",FALSE,"dirichlet",10,200,69
"438",TRUE,"dirichlet",10,200,96
"439",FALSE,"dirichlet",100,200,63
"440",TRUE,"dirichlet",100,200,96
"441",FALSE,"tree",0.01,300,100
"442",TRUE,"tree",0.01,300,100
"443",FALSE,"tree",0.1,300,100
"444",TRUE,"tree",0.1,300,100
"445",FALSE,"tree",1,300,100
"446",TRUE,"tree",1,300,100
"447",FALSE,"tree",10,300,100
"448",TRUE,"tree",10,300,100
"449",FALSE,"tree",100,300,100
"450",TRUE,"tree",100,300,100
"451",FALSE,"dirichlet",0.01,300,81
"452",TRUE,"dirichlet",0.01,300,100
"453",FALSE,"dirichlet",0.1,300,80
"454",TRUE,"dirichlet",0.1,300,100
"455",FALSE,"dirichlet",1,300,82
"456",TRUE,"dirichlet",1,300,100
"457",FALSE,"dirichlet",10,300,85
"458",TRUE,"dirichlet",10,300,100
"459",FALSE,"dirichlet",100,300,84
"460",TRUE,"dirichlet",100,300,100
"461",FALSE,"tree",0.01,400,100
"462",TRUE,"tree",0.01,400,100
"463",FALSE,"tree",0.1,400,100
"464",TRUE,"tree",0.1,400,100
"465",FALSE,"tree",1,400,100
"466",TRUE,"tree",1,400,100
"467",FALSE,"tree",10,400,100
"468",TRUE,"tree",10,400,100
"469",FALSE,"tree",100,400,100
"470",TRUE,"tree",100,400,100
"471",FALSE,"dirichlet",0.01,400,85
"472",TRUE,"dirichlet",0.01,400,100
"473",FALSE,"dirichlet",0.1,400,86
"474",TRUE,"dirichlet",0.1,400,100
"475",FALSE,"dirichlet",1,400,81
"476",TRUE,"dirichlet",1,400,100
"477",FALSE,"dirichlet",10,400,82
"478",TRUE,"dirichlet",10,400,100
"479",FALSE,"dirichlet",100,400,81
"480",TRUE,"dirichlet",100,400,100
"481",FALSE,"tree",0.01,500,100
"482",TRUE,"tree",0.01,500,100
"483",FALSE,"tree",0.1,500,100
"484",TRUE,"tree",0.1,500,100
"485",FALSE,"tree",1,500,100
"486",TRUE,"tree",1,500,100
"487",FALSE,"tree",10,500,100
"488",TRUE,"tree",10,500,100
"489",FALSE,"tree",100,500,100
"490",TRUE,"tree",100,500,100
"491",FALSE,"dirichlet",0.01,500,92
"492",TRUE,"dirichlet",0.01,500,100
"493",FALSE,"dirichlet",0.1,500,91
"494",TRUE,"dirichlet",0.1,500,100
"495",FALSE,"dirichlet",1,500,87
"496",TRUE,"dirichlet",1,500,100
"497",FALSE,"dirichlet",10,500,92
"498",TRUE,"dirichlet",10,500,100
"499",FALSE,"dirichlet",100,500,88
"500",TRUE,"dirichlet",100,500,100
"501",FALSE,"tree",0.01,600,100
"502",TRUE,"tree",0.01,600,100
"503",FALSE,"tree",0.1,600,100
"504",TRUE,"tree",0.1,600,100
"505",FALSE,"tree",1,600,100
"506",TRUE,"tree",1,600,100
"507",FALSE,"tree",10,600,100
"508",TRUE,"tree",10,600,100
"509",FALSE,"tree",100,600,100
"510",TRUE,"tree",100,600,100
"511",FALSE,"dirichlet",0.01,600,92
"512",TRUE,"dirichlet",0.01,600,100
"513",FALSE,"dirichlet",0.1,600,93
"514",TRUE,"dirichlet",0.1,600,100
"515",FALSE,"dirichlet",1,600,93
"516",TRUE,"dirichlet",1,600,100
"517",FALSE,"dirichlet",10,600,96
"518",TRUE,"dirichlet",10,600,100
"519",FALSE,"dirichlet",100,600,95
"520",TRUE,"dirichlet",100,600,100
"521",FALSE,"tree",0.01,700,100
"522",TRUE,"tree",0.01,700,100
"523",FALSE,"tree",0.1,700,100
"524",TRUE,"tree",0.1,700,100
"525",FALSE,"tree",1,700,100
"526",TRUE,"tree",1,700,100
"527",FALSE,"tree",10,700,100
"528",TRUE,"tree",10,700,100
"529",FALSE,"tree",100,700,100
"530",TRUE,"tree",100,700,100
"531",FALSE,"dirichlet",0.01,700,95
"532",TRUE,"dirichlet",0.01,700,100
"533",FALSE,"dirichlet",0.1,700,93
"534",TRUE,"dirichlet",0.1,700,100
"535",FALSE,"dirichlet",1,700,99
"536",TRUE,"dirichlet",1,700,100
"537",FALSE,"dirichlet",10,700,95
"538",TRUE,"dirichlet",10,700,100
"539",FALSE,"dirichlet",100,700,95
"540",TRUE,"dirichlet",100,700,100
"541",FALSE,"tree",0.01,800,100
"542",TRUE,"tree",0.01,800,100
"543",FALSE,"tree",0.1,800,100
"544",TRUE,"tree",0.1,800,100
"545",FALSE,"tree",1,800,100
"546",TRUE,"tree",1,800,100
"547",FALSE,"tree",10,800,100
"548",TRUE,"tree",10,800,100
"549",FALSE,"tree",100,800,100
"550",TRUE,"tree",100,800,100
"551",FALSE,"dirichlet",0.01,800,96
"552",TRUE,"dirichlet",0.01,800,100
"553",FALSE,"dirichlet",0.1,800,98
"554",TRUE,"dirichlet",0.1,800,100
"555",FALSE,"dirichlet",1,800,98
"556",TRUE,"dirichlet",1,800,100
"557",FALSE,"dirichlet",10,800,96
"558",TRUE,"dirichlet",10,800,100
"559",FALSE,"dirichlet",100,800,95
"560",TRUE,"dirichlet",100,800,100
"561",FALSE,"tree",0.01,900,100
"562",TRUE,"tree",0.01,900,100
"563",FALSE,"tree",0.1,900,100
"564",TRUE,"tree",0.1,900,100
"565",FALSE,"tree",1,900,100
"566",TRUE,"tree",1,900,100
"567",FALSE,"tree",10,900,100
"568",TRUE,"tree",10,900,100
"569",FALSE,"tree",100,900,100
"570",TRUE,"tree",100,900,100
"571",FALSE,"dirichlet",0.01,900,96
"572",TRUE,"dirichlet",0.01,900,100
"573",FALSE,"dirichlet",0.1,900,98
"574",TRUE,"dirichlet",0.1,900,100
"575",FALSE,"dirichlet",1,900,98
"576",TRUE,"dirichlet",1,900,100
"577",FALSE,"dirichlet",10,900,99
"578",TRUE,"dirichlet",10,900,100
"579",FALSE,"dirichlet",100,900,99
"580",TRUE,"dirichlet",100,900,100
"581",FALSE,"tree",0.01,1000,100
"582",TRUE,"tree",0.01,1000,100
"583",FALSE,"tree",0.1,1000,100
"584",TRUE,"tree",0.1,1000,100
"585",FALSE,"tree",1,1000,100
"586",TRUE,"tree",1,1000,100
"587",FALSE,"tree",10,1000,100
"588",TRUE,"tree",10,1000,100
"589",FALSE,"tree",100,1000,100
"590",TRUE,"tree",100,1000,100
"591",FALSE,"dirichlet",0.01,1000,99
"592",TRUE,"dirichlet",0.01,1000,100
"593",FALSE,"dirichlet",0.1,1000,100
"594",TRUE,"dirichlet",0.1,1000,100
"595",FALSE,"dirichlet",1,1000,99
"596",TRUE,"dirichlet",1,1000,100
"597",FALSE,"dirichlet",10,1000,99
"598",TRUE,"dirichlet",10,1000,100
"599",FALSE,"dirichlet",100,1000,99
"600",TRUE,"dirichlet",100,1000,100
"601",FALSE,"tree",0.01,100,100
"602",TRUE,"tree",0.01,100,100
"603",FALSE,"tree",0.1,100,100
"604",TRUE,"tree",0.1,100,100
"605",FALSE,"tree",1,100,100
"606",TRUE,"tree",1,100,100
"607",FALSE,"tree",10,100,100
"608",TRUE,"tree",10,100,100
"609",FALSE,"tree",100,100,95
"610",TRUE,"tree",100,100,100
"611",FALSE,"dirichlet",0.01,100,62
"612",TRUE,"dirichlet",0.01,100,94
"613",FALSE,"dirichlet",0.1,100,59
"614",TRUE,"dirichlet",0.1,100,95
"615",FALSE,"dirichlet",1,100,64
"616",TRUE,"dirichlet",1,100,94
"617",FALSE,"dirichlet",10,100,56
"618",TRUE,"dirichlet",10,100,93
"619",FALSE,"dirichlet",100,100,64
"620",TRUE,"dirichlet",100,100,91
"621",FALSE,"tree",0.01,200,98
"622",TRUE,"tree",0.01,200,100
"623",FALSE,"tree",0.1,200,100
"624",TRUE,"tree",0.1,200,100
"625",FALSE,"tree",1,200,100
"626",TRUE,"tree",1,200,100
"627",FALSE,"tree",10,200,97
"628",TRUE,"tree",10,200,100
"629",FALSE,"tree",100,200,95
"630",TRUE,"tree",100,200,100
"631",FALSE,"dirichlet",0.01,200,70
"632",TRUE,"dirichlet",0.01,200,94
"633",FALSE,"dirichlet",0.1,200,62
"634",TRUE,"dirichlet",0.1,200,94
"635",FALSE,"dirichlet",1,200,60
"636",TRUE,"dirichlet",1,200,92
"637",FALSE,"dirichlet",10,200,65
"638",TRUE,"dirichlet",10,200,96
"639",FALSE,"dirichlet",100,200,60
"640",TRUE,"dirichlet",100,200,96
"641",FALSE,"tree",0.01,300,100
"642",TRUE,"tree",0.01,300,100
"643",FALSE,"tree",0.1,300,100
"644",TRUE,"tree",0.1,300,100
"645",FALSE,"tree",1,300,100
"646",TRUE,"tree",1,300,100
"647",FALSE,"tree",10,300,100
"648",TRUE,"tree",10,300,100
"649",FALSE,"tree",100,300,94
"650",TRUE,"tree",100,300,100
"651",FALSE,"dirichlet",0.01,300,73
"652",TRUE,"dirichlet",0.01,300,100
"653",FALSE,"dirichlet",0.1,300,73
"654",TRUE,"dirichlet",0.1,300,99
"655",FALSE,"dirichlet",1,300,75
"656",TRUE,"dirichlet",1,300,100
"657",FALSE,"dirichlet",10,300,77
"658",TRUE,"dirichlet",10,300,100
"659",FALSE,"dirichlet",100,300,79
"660",TRUE,"dirichlet",100,300,100
"661",FALSE,"tree",0.01,400,100
"662",TRUE,"tree",0.01,400,100
"663",FALSE,"tree",0.1,400,100
"664",TRUE,"tree",0.1,400,100
"665",FALSE,"tree",1,400,100
"666",TRUE,"tree",1,400,100
"667",FALSE,"tree",10,400,100
"668",TRUE,"tree",10,400,100
"669",FALSE,"tree",100,400,100
"670",TRUE,"tree",100,400,100
"671",FALSE,"dirichlet",0.01,400,91
"672",TRUE,"dirichlet",0.01,400,100
"673",FALSE,"dirichlet",0.1,400,79
"674",TRUE,"dirichlet",0.1,400,100
"675",FALSE,"dirichlet",1,400,86
"676",TRUE,"dirichlet",1,400,100
"677",FALSE,"dirichlet",10,400,85
"678",TRUE,"dirichlet",10,400,100
"679",FALSE,"dirichlet",100,400,88
"680",TRUE,"dirichlet",100,400,100
"681",FALSE,"tree",0.01,500,100
"682",TRUE,"tree",0.01,500,100
"683",FALSE,"tree",0.1,500,100
